Date,Equity Share Capital,TOTAL SHARE CAPITAL,Reserves and Surplus,TOTAL RESERVES AND SURPLUS,TOTAL SHAREHOLDERS FUNDS,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,TOTAL NON-CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,TOTAL CURRENT LIABILITIES,TOTAL CAPITAL AND LIABILITIES,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,FIXED ASSETS,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,TOTAL NON-CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,TOTAL CURRENT ASSETS,TOTAL ASSETS,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value
2000,59.97,59.97,1193.9,1204.08,1264.05,179.99,65.95,0,0,245.93,30.6,177.65,197.7,304.24,710.19,2220.17,547.56,0,56.01,0,603.57,180.37,0,0,0,783.94,0,568.94,498.23,6.24,362.82,0,1436.23,2220.17,448.57,232.01,0,0,52.22,55.27,812.28,58.33,58.39,180.37,
2001,59.97,59.97,1483.6,1493.66,1553.64,154.67,88.95,0,0,243.62,40.37,238.68,255.77,283.99,818.81,2616.07,738.91,0,105.96,0,844.87,18.3,0,0,0,863.18,0,745.68,587.32,15.38,404.51,0,1752.89,2616.07,503.88,358.01,0,0,89.73,81.74,1053.21,44.74,58.39,18.3,
2002,59.97,59.97,1913.98,1923.3,1983.27,417.64,97.95,0,0,515.59,51.27,371.27,264.62,272.31,959.47,3458.33,1056.61,0,87.01,0,1143.62,22.43,0,0,0,1166.05,0,957,875.96,44.48,414.84,0,2292.28,3458.33,1600.75,468.41,0,0,106.55,80.47,1513.64,51.99,58.39,22.43,
2003,155.46,155.46,3071.84,3080.81,3236.27,116.31,112.65,0,0,228.96,7.25,305.93,225.2,410.13,948.51,4413.74,1388.07,0,73.19,0,1461.26,117.8,0,0,0,1579.06,0,978.6,1028.78,131.49,695.81,0,2834.68,4413.74,1586.64,555.27,0,0,94.85,115.13,1780.44,84.63,151.66,117.8,
2004,59.97,59.97,1193.9,1204.08,1264.05,179.99,65.95,0,0,245.93,30.6,177.65,197.7,304.24,710.19,2220.17,547.56,0,56.01,0,603.57,180.37,0,0,0,783.94,0,568.94,498.23,6.24,362.82,0,1436.23,2220.17,448.57,232.01,0,0,52.22,55.27,812.28,58.33,58.39,180.37,
2005,59.97,59.97,1483.6,1493.66,1553.64,154.67,88.95,0,0,243.62,40.37,238.68,255.77,283.99,818.81,2616.07,738.91,0,105.96,0,844.87,18.3,0,0,0,863.18,0,745.68,587.32,15.38,404.51,0,1752.89,2616.07,503.88,358.01,0,0,89.73,81.74,1053.21,44.74,58.39,18.3,
2006,59.97,59.97,1913.98,1923.3,1983.27,417.64,97.95,0,0,515.59,51.27,371.27,264.62,272.31,959.47,3458.33,1056.61,0,87.01,0,1143.62,22.43,0,0,0,1166.05,0,957,875.96,44.48,414.84,0,2292.28,3458.33,1600.75,468.41,0,0,106.55,80.47,1513.64,51.99,58.39,22.43,
2007,155.46,155.46,3071.84,3080.81,3236.27,116.31,112.65,0,0,228.96,7.25,305.93,225.2,410.13,948.51,4413.74,1388.07,0,73.19,0,1461.26,117.8,0,0,0,1579.06,0,978.6,1028.78,131.49,695.81,0,2834.68,4413.74,1586.64,555.27,0,0,94.85,115.13,1780.44,84.63,151.66,117.8,
2008,155.46,155.46,3591.39,3600.36,3755.82,563.55,149.15,0,0,712.7,16.98,533.51,297.39,416.81,1264.69,5733.21,1661.36,0,233.12,0,1894.48,94.75,0,0,0,1989.23,0,1120.49,1393.91,79.28,1150.3,0,3743.98,5733.21,1664.58,743.62,0,0,202.93,121.15,2101.74,153.47,151.66,94.75,
2009,155.46,155.46,4186.32,4195.29,4350.75,73.48,164.15,0,0,237.63,866.76,456.63,556.22,391.71,2271.32,6859.7,1992.49,0,366.32,0,2358.81,81.32,0,0,0,2440.13,0,1398.32,1837.15,53,1131.1,0,4419.57,6859.7,730.75,983.22,0,0,256.8,173.2,2742.69,217.47,151.66,81.32,
2010,160.58,160.58,5744.54,5753.51,5914.09,4.66,179.15,0,0,183.81,0.41,805.61,192.35,1347.66,2346.03,8443.93,2011.17,0,684.24,0,2695.41,265.1,0,0,0,2960.51,0,1512.58,1552.71,60.84,2357.29,0,5483.42,8443.93,423.87,873.6,0,0,167.23,161.32,2900.58,157.1,151.66,265.1,
2011,160.58,160.58,6443.4,6452.37,6612.95,2.92,212.45,0,21,236.37,437.56,661.67,300.4,198.88,1598.51,8447.83,2867.65,0,253.07,0,3120.72,347.06,0,435.5,0.15,3903.43,223.59,1883.16,1497.04,83.98,771.3,85.33,4544.4,8447.83,1110.96,1170.77,0,0,179.39,171.59,3361.49,56.18,151.66,346.69,223.59
2012,160.58,160.58,7380.73,7389.7,7550.28,2.2,232.45,0,29.12,263.77,10,600.39,357.94,211.41,1179.74,8993.79,3002.66,0,343.45,0,3346.11,461.83,0,385.65,0.24,4193.83,573.32,1824.5,1519.31,55.06,773.79,53.98,4799.96,8993.79,1320.07,954.34,0,0,146.5,195.94,3692.03,36.14,151.66,461.47,573.32
2013,160.58,160.58,8699.97,8708.94,8869.52,0.55,281.2,30,47.34,359.09,965.26,827.09,242.62,229.63,2264.6,11493.21,3418.29,0,339.99,0,3768.63,514.36,0,373.72,0.31,4657.02,2087.46,2343.37,1645.22,105.07,652.79,2.28,6836.19,11493.21,3993.66,1206.78,0,0,83.21,274.34,4426.16,68.56,151.66,514.01,2087.46
2014,160.58,160.58,9922.09,9931.06,10091.64,0.43,311.2,30,73.99,415.62,876.91,962.56,333.2,244.07,2416.74,12924,3519.59,4.6,319.64,0,3900.88,3328.28,0,535.3,61.57,7826.03,258.85,2511.16,1728.1,46.04,515.56,38.26,5097.97,12924,1201.36,1330.64,0,0,64.71,468.25,4947.96,201.92,151.66,3327.94,258.85
2015,160.59,160.59,10920.59,10929.56,11090.15,0.41,330.59,40,151.93,522.93,1380.2,1496.6,352.42,349.52,3578.74,15191.82,3468.33,125.29,339,0,3954.33,4036.99,0,576.71,65.13,8633.16,384.11,3289.2,2058.91,82.76,589.96,153.72,6558.66,15191.82,1760.36,1515.43,0,0,123.75,585.43,4736.33,174.07,151.66,4036.66,384.11
2016,160.68,160.68,11825.2,11825.2,11985.88,0.13,35.85,130.72,132,298.7,1131.68,990.84,582.73,249.22,2954.47,15239.05,3702.28,123.83,512.81,0.33,4377.16,3716.26,0,219.37,458.89,8771.68,539.52,2918.47,1896.41,53.01,10.92,1049.04,6467.37,15239.05,4735.02,1453.01,0,0,247,745.86,6683.67,62.46,151.66,3716.26,539.52
2017,160.9,160.9,12639.61,12639.61,12800.51,0.07,0,125.2,125.61,250.88,324.26,1298.21,670.58,262.78,2555.83,15607.22,4095.16,140.1,540.52,0.32,4791.35,3647.71,59.54,215.75,547.53,9261.88,638.18,2653.5,1938.79,58.46,9.53,1046.88,6345.34,15607.22,4733.92,0,0,0,0,0,,,151.66,,638.18
2018,161.02,161.02,13952.5,13952.5,14113.52,0,0,125.3,124.45,249.75,174.43,1580.02,579.07,398.18,2731.7,17094.97,4158.37,161.66,435.28,0.32,4782.95,3597.24,46.8,233.13,496.68,9156.8,1039.74,3037.98,2336.32,227.53,17.74,1278.86,7938.17,17094.97,4505.33,0,0,0,0,2103.33,4988.27,180.82,151.66,,1039.74
2019,161.14,161.14,15578.07,15578.07,15781.91,0,42.84,117.86,108.12,268.82,0,1481.35,458.18,428.55,2368.08,18418.81,3992.13,135.33,241.32,61.85,4486.64,3803.61,0,207.91,442,8940.16,2011.58,2868.41,3168.73,174.56,5.04,1250.33,9478.65,18418.81,4801.99,0,0,0,0,1904.13,5740.95,199.06,151.66,3803.61,2011.58
2020,161.25,161.25,17207.54,17207.54,17402.96,0,112.97,165.3,105.14,383.41,6.06,1612.12,459.61,541.5,2619.29,20405.66,3818.67,205.87,255.73,126.44,4470.71,6355.32,0,41.89,510.68,11378.6,834.43,3021.36,3560.27,523.07,4.49,1083.44,9027.06,20405.66,3121.8,0,0,0,0,590.26,5517.45,86.15,151.66,6355.32,834.43
2021,161.29,161.29,19730.58,19730.58,19927.56,0,104.91,143.36,95.97,344.24,0,1495.49,575.89,620.56,2691.94,22963.74,3673.15,269.51,275.04,123.79,4421.56,7720.99,0,43.37,585.64,12771.56,2004.84,3085.81,3035.37,874.8,1.9,1189.46,10192.18,22963.74,1972.95,0,0,0,0,2091.06,6805.06,,151.66,7720.99,2004.84
2022,161.36,161.36,22315.35,22315.35,22513.55,0,55.96,72.06,78.92,206.94,0,1378.93,718.84,630.79,2728.56,25449.05,3111.73,215.96,169.22,63.35,3604.88,8934.88,0,0,884.66,13424.42,2038.8,3199.05,1939.62,1428.03,0.89,3418.24,12024.63,25449.05,975.31,0,0,0,0,1780.34,5709.43,135.97,151.66,8934.88,2038.8
2023,161.43,161.43,24437.55,24437.55,24638.09,0,36.13,140.78,81.73,258.64,0,1594.12,458.88,646.74,2699.74,27596.47,3547.83,199.45,441.53,61.72,4313.25,9137.91,0,131.09,643.09,14225.34,2771.44,3277.36,2888.49,966.46,772.73,2694.65,13371.13,27596.47,897.09,0,0,0,0,2020.18,6428.17,936.24,151.66,9137.91,2771.44
